TEMPS	VO2	VCO2	FR	VT
2	373.7105102	192.7003221	18.57585139	0.500805337
6	343.2778906	179.5823362	16.75977654	0.511005039
9	406.0358481	213.6394377	17.82531194	0.538544232
12	380.25522	198.3530543	17.96407186	0.516104889
16	340.2364282	175.568612	18.81467545	0.473266144
19	436.3627855	229.9798006	18.03968731	0.548743934
23	611.2632237	333.0599241	17.03577513	0.725198768
25	727.8507656	403.0718497	18.14882033	0.797616647
28	643.3401138	355.7935962	20.07360321	0.695619634
30	578.7665855	312.0994111	23.3281493	0.583422918
33	483.4949298	256.1460462	25.25252525	0.495705487
34	487.0008352	255.7931329	27.19854941	0.488565696
37	456.3226986	254.6796469	27.49770852	0.488565696
40	566.5700041	331.4218848	25.07312996	0.600762411
43	566.2595269	344.0992662	19.96007984	0.711939156
46	607.1373952	372.1008711	18.95135818	0.775177304
48	655.6941384	391.9781675	20.62564455	0.732338558
53	751.144449	457.341967	18.46722068	0.848615154
56	722.6628496	436.4062196	18.58160421	0.809856289
59	656.7933862	399.9254984	16.82557487	0.833315602
61	571.7235223	333.5501709	21.82611859	0.633401455
64	685.2549853	415.2239066	22.8745711	0.704799365
66	782.4288433	478.9704734	27.32240437	0.685419932
68	841.8125209	515.4806262	27.00270027	0.738458379
70	777.7185375	462.5796958	27.4473925	0.694599663
73	813.1537488	498.6076065	23.50176263	0.830255692
76	648.8688978	407.0552655	22.19755827	0.757837812
79	570.7365973	352.952668	22.45508982	0.680320081
81	476.0435239	285.6021701	23.08580223	0.570163307
86	671.6823986	421.9946672	18.77346683	0.799656588
90	670.249592	432.8275017	16.17250674	0.914913213
93	637.0531625	411.3369681	15.34919417	0.920013064
95	614.7976377	386.6559715	18.89168766	0.763957633
98	626.0244554	383.5761027	20.6682742	0.713979096
102	684.0876812	423.3458539	19.98667555	0.767017543
105	641.4285754	401.3770908	18.71490954	0.790476856
111	561.0021259	356.4242281	14.23149905	0.848615154
114	435.1647282	277.7060185	14.42307692	0.711939156
118	419.3828943	261.8746418	13.9243444	0.680320081
123	519.8131303	316.3890454	15.45197013	0.726218738
127	582.9021027	351.415236	14.50676983	0.807816349
130	510.6825931	305.0955905	14.36781609	0.734378499
134	564.5842188	322.6942323	16.44286106	0.700719484
137	572.5059478	321.4480953	17.3260179	0.680320081
141	555.7276461	307.8833199	16.67129758	0.678280141
144	433.8537461	223.5748576	17.01644923	0.538544232
147	584.4593748	297.1557357	18.4501845	0.610962112
149	798.4038542	408.5573724	22.33804914	0.688479843
154	990.4375925	542.8015696	18.79699248	0.973051511
155	907.7335795	492.6237399	21.30681818	0.837395483
158	853.9294763	460.2908074	21.40563682	0.786396976
160	683.9727217	332.1765694	29.9550674	0.524264651
162	765.9388678	399.6724768	26.21231979	0.623201754
165	762.126822	394.7255856	26.05297438	0.611982082
167	676.509964	350.4679266	24.10606669	0.602802351
170	666.4454584	340.2027933	24.76269088	0.579343038
172	667.429483	355.5026372	23.08580223	0.618101903
175	749.9687741	402.9446343	23.08580223	0.66910041
177	703.4159761	375.1981496	22.78769464	0.660940649
180	768.7007371	403.3772468	24.77291495	0.664000559
182	730.9581787	393.0032794	25.49936252	0.650740948
188	667.4784362	390.2853485	17.29605074	0.840455393
191	679.3746889	404.3680109	15.81861323	0.908793392
